date,reps,sets,weightVolume,Benchpress close grip,Benchpress wide grip,Benchpress,Dumbell incline press 30 degrees,Dips,Seated rows machine,Ab crunches machine,Side ab crunches,Squats,Side ab crunches machine,Tricep pulldowns rope,Shoulder press machine,Chest press machine,Lat pulldowns,Bicep curls bar,Leg curls machine,Calf raises smith machine,Leg extensions machine,Overhead barbell press,Lateral raise dumbbells,Shoulder press dumbbells,Bicep curls dumbbells,Concentration curls,Wrist curls,Reverse wrist curls,Hammer curls,Face pulls,Barbell rows,Dumbbell rows,Pullups,Lateral raise cable,Shrugs dumbbells,Tricep pushdowns handle,Beinpress maskin,Pulldowns small grip,Y-raises rear delt,abdominal,Pulldowns behind back,Deadlift,Seated rows v-grip,Lower back,Strikk inn og ut skulder,skråbenk smith,One arm cable row,One arm barbell row,Chin ups,sissy squats,hip thrusts,magehjul,Reverse bicep curls bar,Calf raises,T-bar rows,Leg press,Calf raises machine,Front shoulder raises
2023-10-22 15:49:53,148.0,11.0,8315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.57,0,0,0,0,0,0,0,0,0,0,0,0,36.5,106.19,45.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-23 19:55:27,134.0,15.0,4255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.91,0,30.87,22.36,0,0,0,22.96,0,0,0,0,12.94,0,37.92,0,0,13.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-25 18:44:00,119.5,15.0,7619.0,0,0,94.15,33.96,116.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-30 20:56:23,96.0,12.0,5980.0,0,0,96.46,34.76,119.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-07 18:14:00,54.0,7.0,3900.0,0,0,89.46,0,0,0,0,0,0,0,0,0,0,98.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-09 20:55:00,187.5,16.0,4902.5,0,0,0,0,0,0,0,0,0,0,37.3,0,0,0,0,0,0,0,47.08,0,29.42,21.1,0,0,0,22.64,0,0,0,0,15.43,0,34.32,0,0,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-14 13:50:00,120.5,11.0,7392.5,0,0,73.75,0,0,0,0,0,0,0,0,0,0,98.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-20 20:55:00,228.0,21.0,6695.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.96,0,30.87,22.36,0,0,0,22.96,37.75,0,0,0,6.47,0,35.87,0,0,16.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-25 16:26:59,71.0,11.0,5399.0,0,0,97.56,33.96,118.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-26 19:27:00,64.0,8.0,4570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
