date,reps,sets,weightVolume,Benchpress close grip,Benchpress wide grip,Benchpress,Dumbell incline press 30 degrees,Dips,Seated rows machine,Ab crunches machine,Side ab crunches,Squats,Side ab crunches machine,Tricep pulldowns rope,Shoulder press machine,Chest press machine,Lat pulldowns,Bicep curls bar,Leg curls machine,Calf raises smith machine,Leg extensions machine,Overhead barbell press,Lateral raise dumbbells,Shoulder press dumbbells,Bicep curls dumbbells,Concentration curls,Wrist curls,Reverse wrist curls,Hammer curls,Face pulls,Barbell rows,Dumbbell rows,Pullups,Lateral raise cable,Shrugs dumbbells,Tricep pushdowns handle,Beinpress maskin,Pulldowns small grip,Y-raises rear delt,abdominal,Pulldowns behind back,Deadlift,Seated rows v-grip,Lower back,Strikk inn og ut skulder,skråbenk smith,One arm cable row,One arm barbell row,Chin ups,sissy squats,hip thrusts,magehjul,Reverse bicep curls bar,Calf raises,T-bar rows,Leg press,Calf raises machine,Front shoulder raises
2023-11-25 16:26:59,71.0,11.0,5399.0,0,0,1595.0,605.0,2594.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-26 19:27:00,64.0,8.0,4570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-27 23:02:00,126.0,15.0,7700.0,0,0,0,0,0,0,0,0,0,540.0,0,0,0,0,0,1200.0,0,1800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520.0,0,0,1100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-29 23:06:00,235.0,20.0,9465.0,0,0,0,0,0,1920.0,0,0,0,1440.0,750.0,1560.0,0,0,0,0,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01 23:10:00,90.0,9.0,2025.0,0,0,0,0,0,0,0,0,0,0,525.0,0,0,0,0,0,0,0,0,0,450.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-30 16:45:00,100.75,10.0,5925.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710.0,1200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-04 23:22:00,181.0,23.0,7250.0,0,0,1960.0,0,0,1700.0,0,0,0,0,585.0,0,0,1470.0,0,0,0,0,0,0,450.0,317.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-28 17:17:06,225.5,22.0,6908.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875.0,0,692.5,180.0,0,0,0,200.0,1182.5,0,0,0,212.5,0,901.25,0,0,690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-30 19:38:05,83.0,13.0,6473.0,0,0,2107.5,530.0,2044.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-02 18:33:28,153.5,16.0,4505.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.0,0,475.0,170.0,0,0,0,80.0,0,0,0,0,167.5,0,660.0,0,0,590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
